session_id,user_id,reference_text,reference_text_len,typed_text,typed_text_len,time_taken_sec,accuracy_percent,mistake_count,backspace_estimate,date_time,self_stress_level,sleep_hours,notes,chars_per_sec,mistakes_per_char,difficulty_score,word_mistake_count,word_mistake_rate
1,varun,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory , problem solving, teamwork , and clear communication in one place.",162,76.72,58.64,67,65,2025-11-21 20:34:27,1,6.0,,2.1115745568300315,0.41875,65,12,0.075
2,varun,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,83.15,100.0,0,0,2025-11-21 20:36:37,0,6.5,,2.1286831028262174,0.0,0,0,0.0
3,varun,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,100.53,100.0,0,0,2025-11-21 20:40:45,1,6.0,not feeling well,1.7606684571769622,0.0,0,0,0.0
4,varun,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic.,71,24.07,100.0,0,0,2025-11-21 20:41:51,0,7.0,,2.949729954299958,0.0,0,0,0.0
5,varun,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic.,71,27.62,100.0,0,0,2025-11-21 20:42:47,0,8.0,,2.570601013758146,0.0,0,0,0.0
6,varun,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,47.68,100.0,0,0,2025-11-21 20:44:28,1,6.5,,2.6006711409395975,0.0,0,0,0.0
7,varun,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Mchune learning models can discover hidden patterns in noisy data, helping us make better prediuctions abpit the  real worls.",125,36.7,15.2,106,105,2025-11-21 20:46:13,2,4.0,feeling exhausted,3.4059945504087192,0.8548387096774194,105,4,0.03225806451612903
8,varun,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends thst explain why their performance improves or drops over time.",180,66.73,99.44,1,1,2025-11-21 20:47:57,0,9.0,,2.6974374344372842,0.005555555555555556,1,1,0.005555555555555556
9,varun,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time iut can increase mistakes, reduce focus, and make even simple tasks fell much harder than they actually are.",178,58.87,41.57,104,103,2025-11-21 20:50:36,2,4.5,exam tomorrow,3.0236113470358417,0.5875706214689266,103,2,0.011299435028248588
10,varun,Python makes data science fun and powerful for students who love logic.,71,Python makes data scioence fun and powerful foe students who love logic.,72,27.45,29.17,51,50,2025-11-21 20:52:22,2,3.0,bad health,2.6229508196721314,0.7183098591549296,50,2,0.028169014084507043
11,varun,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,65.27,100.0,0,0,2025-11-21 20:54:53,0,9.0,,2.4513559062356367,0.0,0,0,0.0
12,archita,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Machine learning models can discover hidden patterns in noissy data, helping us make better predictions about the real worlds.",126,59.96,48.41,65,63,2025-11-21 21:14:17,1,5.0,too much work to do,2.1014009339559707,0.5241935483870968,63,2,0.016129032258064516
13,archita,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projets are a grat way to learn real skills, because they force us to comnine theory , problems siolving, teamwork, and clear communication in one place.",161,77.43,9.94,145,144,2025-11-21 21:16:53,2,2.0,,2.079297429936717,0.90625,144,14,0.0875
14,archita,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks fast much harder than they actually are.",177,70.1,97.74,4,4,2025-11-21 21:18:44,0,9.0,feeling relaxed,2.524964336661912,0.022598870056497175,4,2,0.011299435028248588
15,archita,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are great way to learn real skills , because they focus to combine theory, problem solving, teamwork, and clear comuunication in one place.",156,61.13,16.25,134,138,2025-11-21 21:20:12,1,3.0,,2.551938491738917,0.8375,138,21,0.13125
16,archita,Python makes data science fun and powerful for students who love logic.,71,Python make data science fun and powerful for students who love logic.,70,29.26,15.49,60,61,2025-11-21 21:21:26,0,6.0,tired,2.3923444976076556,0.8450704225352113,61,1,0.014084507042253521
17,archita,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"stress does not always reuce productivity immediately, but over time it can increase mistakes, reduce focud, and make ecen simole tasks feelk much hardero than they actually sare.",179,69.54,21.79,140,138,2025-11-21 21:23:09,2,1.0,Had an exam tommmorow,2.5740580960598214,0.7909604519774012,138,8,0.04519774011299435
18,archita,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic.,71,29.78,100.0,0,0,2025-11-21 21:24:06,0,12.0,Too relaxed,2.3841504365345867,0.0,0,0,0.0
