session_id,user_id,reference_text,reference_text_len,typed_text,typed_text_len,time_taken_sec,accuracy_percent,mistake_count,backspace_estimate,date_time,self_stress_level,sleep_hours,notes
1,varun,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory , problem solving, teamwork , and clear communication in one place.",162,76.72,58.64,67,65,2025-11-21 20:34:27,1,6.0,
2,varun,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,83.15,100.0,0,0,2025-11-21 20:36:37,0,6.5,
3,varun,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,100.53,100.0,0,0,2025-11-21 20:40:45,1,6.0,not feeling well
4,varun,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic.,71,24.07,100.0,0,0,2025-11-21 20:41:51,0,7.0,
5,varun,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic.,71,27.62,100.0,0,0,2025-11-21 20:42:47,0,8.0,
6,varun,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,47.68,100.0,0,0,2025-11-21 20:44:28,1,6.5,
7,varun,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Mchune learning models can discover hidden patterns in noisy data, helping us make better prediuctions abpit the  real worls.",125,36.7,15.2,106,105,2025-11-21 20:46:13,2,4.0,feeling exhausted
8,varun,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends thst explain why their performance improves or drops over time.",180,66.73,99.44,1,1,2025-11-21 20:47:57,0,9.0,
9,varun,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time iut can increase mistakes, reduce focus, and make even simple tasks fell much harder than they actually are.",178,58.87,41.57,104,103,2025-11-21 20:50:36,2,4.5,exam tomorrow
10,varun,Python makes data science fun and powerful for students who love logic.,71,Python makes data scioence fun and powerful foe students who love logic.,72,27.45,29.17,51,50,2025-11-21 20:52:22,2,3.0,bad health
11,varun,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,65.27,100.0,0,0,2025-11-21 20:54:53,0,9.0,
12,archita,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Machine learning models can discover hidden patterns in noissy data, helping us make better predictions about the real worlds.",126,59.96,48.41,65,63,2025-11-21 21:14:17,1,5.0,too much work to do
13,archita,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projets are a grat way to learn real skills, because they force us to comnine theory , problems siolving, teamwork, and clear communication in one place.",161,77.43,9.94,145,144,2025-11-21 21:16:53,2,2.0,
14,archita,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks fast much harder than they actually are.",177,70.1,97.74,4,4,2025-11-21 21:18:44,0,9.0,feeling relaxed
15,archita,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are great way to learn real skills , because they focus to combine theory, problem solving, teamwork, and clear comuunication in one place.",156,61.13,16.25,134,138,2025-11-21 21:20:12,1,3.0,
16,archita,Python makes data science fun and powerful for students who love logic.,71,Python make data science fun and powerful for students who love logic.,70,29.26,15.49,60,61,2025-11-21 21:21:26,0,6.0,tired
17,archita,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"stress does not always reuce productivity immediately, but over time it can increase mistakes, reduce focud, and make ecen simole tasks feelk much hardero than they actually sare.",179,69.54,21.79,140,138,2025-11-21 21:23:09,2,1.0,Had an exam tommmorow
18,archita,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic.,71,29.78,100.0,0,0,2025-11-21 21:24:06,0,12.0,Too relaxed
19,archita,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their dailu habits, such as sleep. screen time, and study hours, they can often se clear trends that explain why their performance improve or drops over time.",178,68.78,55.56,80,82,2025-11-21 21:25:45,1,5.0,not feeling well
20,archita,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their daily habits such as sleep, screen timw, and study houers, they can ogten see clear trends that explain why their performance imorove or drops over time.",179,82.13,64.44,64,65,2025-11-21 21:27:44,1,7.0,good
21,archita,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they focus to combine theory, problem solving, teamwork, and clear communication in one place.",157,58.24,47.5,84,87,2025-11-21 21:29:17,1,6.0,
22,archita,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory, problems solving ,tr*eamwork, clear communication in one place.",159,68.7,65.62,55,56,2025-11-21 21:31:27,1,4.0,
23,archita,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictios about the real world.",123,48.23,80.65,24,25,2025-11-21 21:32:47,1,6.0,neutral
24,tarushi,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"when students track their daily habits, such as sleep , screen time, and study hourd, they can often see clear trends that explain why heir performance improves or drops over time.",180,63.18,55.0,81,81,2025-11-21 21:35:28,1,6.0,has assignment to do
25,tarushi,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"machine learning modles can discover hidden patterns in noisy daya, helping us make predictions about the real world.",117,38.54,65.32,43,50,2025-11-21 21:36:37,1,5.0,
26,tarushi,Python makes data science fun and powerful for students who love logic.,71,Pyhton makes data science fun and powerful for students who love logic.,71,23.5,97.18,2,2,2025-11-21 21:37:26,0,9.0,good sleep
27,tarushi,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immedietely, but over time it can increase mistakes , reduce focus, and make even simple taks fells much harder than they acctually aee.",179,58.95,55.31,80,78,2025-11-21 21:38:42,2,6.0,
28,tarushi,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they fprce us to combine theory , problem solving, teamwork, and clear communicATON IN ONE PLACE.",160,50.9,61.25,62,62,2025-11-21 21:40:00,1,7.0,exam
29,tarushi,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,35.08,99.06,1,1,2025-11-21 21:41:01,0,9.0,happy mood
30,tarushi,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,49.09,100.0,0,0,2025-11-21 21:42:17,0,10.0,good
31,tarushi,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,32.07,100.0,0,0,2025-11-21 21:43:22,0,8.0,
32,tarushi,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic.,71,22.1,100.0,0,0,2025-11-21 21:44:00,0,8.0,
33,tarushi,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"machine learning models can discover hidden patterns in noisy data, helping us make better predictions abouty the real world.",125,35.08,85.6,18,17,2025-11-21 21:44:52,1,7.0,neutral
34,tarushi,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,52.04,100.0,0,0,2025-11-21 21:46:05,0,9.0,
35,tarushi,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,37.3,100.0,0,0,2025-11-21 21:47:06,0,9.0,slept well
36,daksh,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment,105,35.92,98.11,2,3,2025-11-21 23:55:21,0,7.0,feeling well
37,daksh,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment,105,32.47,99.06,1,2,2025-11-21 23:57:02,0,7.0,well
38,daksh,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment,105,28.56,3.39,171,243,2025-11-21 23:58:51,2,3.0,not well
39,daksh,Python makes data science fun and powerful for students who love logic.,71,Python makes data science fun and powerful for students who love logic,70,24.67,98.59,1,2,2025-11-21 23:59:37,0,8.0,nice
40,daksh,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"when stduents track their daily habits, such as sleep, screen time, and study hours , they hoften can see clear trends that explain why their performance improves or drops overtime",180,63.41,44.44,100,100,2025-11-22 00:02:06,2,4.0,not well
41,daksh,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a gret way to lren rel skills, because they foce us to combine theory, problem solvimg, teamwork, and clear communication in one place",155,51.91,20.0,128,133,2025-11-22 00:03:19,2,4.0,not well
42,daksh,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops overtime",178,56.83,96.67,6,8,2025-11-22 00:04:50,1,6.0,exam tomorrow
43,daksh,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually aee",176,55.69,98.31,3,4,2025-11-22 00:06:43,1,6.0,exam
44,daksh,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,36.33,100.0,0,0,2025-11-22 00:07:41,0,8.0,well
45,daksh,Typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment.,106,"typing speed and accuracy during a test can reflect how focused or distracted a student is at that moment,",106,37.88,98.11,2,2,2025-11-22 00:08:56,1,6.0,well
46,daksh,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication inone place.",159,61.27,93.12,11,12,2025-11-22 00:11:40,1,5.0,felling well
47,daksh,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,"Machine learning models can discover hidden patterns in noisy data, helping us make better predictions about the real world.",124,43.34,100.0,0,0,2025-11-22 00:13:00,0,8.0,well
48,chakshu,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productiviy imediately, but over time it can increase mistakes, reduce focus,and make even simple tasks feel much harder than they actually are.",174,76.88,23.16,136,139,2025-11-22 00:34:16,2,4.0,not feeling well
49,chakshu,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,97.46,100.0,0,0,2025-11-22 00:36:11,0,8.0,relaxed
50,chakshu,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,65.19,100.0,0,0,2025-11-22 00:37:55,1,6.0,in hurry
51,chakshu,"When students track their daily habits, such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",180,"When students track their daily habits , such as sleep, screen time, and study hours, they can often see clear trends that explain why their performance improves or drops over time.",181,71.82,22.65,140,139,2025-11-22 00:40:25,1,5.0,
52,chakshu,"College projects are a great way to learn real skills, because they force us to combine theory, problem solving, teamwork, and clear communication in one place.",160,"College projects are a great way to learn real skills, because they force to combine theory, problem solving, teamwork, and clear communication in one place.",157,60.63,49.38,81,84,2025-11-22 00:41:50,1,6.0,good
53,chakshu,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make even simple tasks feel much harder than they actually are.",177,"Stress does not always reduce productivity immediately, but over time it can increase mistakes, reduce focus, and make simple tasks much harder than they actually are.",167,62.85,69.49,54,64,2025-11-22 00:44:19,1,5.0,bored
